   __---~~~~--__                      __--~~~~---__
  `\---~~~~~~~~\\                    //~~~~~~~~---/'
    \/~~~~~~~~~\||                  ||/~~~~~~~~~\/
                `\\                //'
                  `\\            //'
                    ||          ||      Hey Doc!
          ______--~~~~~~~~~~~~~~~~~~--______
     ___ // _-~                        ~-_ \\ ___
    `\__)\/~                              ~\/(__/'
     _--`-___                            ___-'--_
   /~     `\ ~~~~~~~~------------~~~~~~~~ /'     ~\
  /|        `\                          /'        |\
 | `\   ______`\_         DMC        _/'______   /' |
 |   `\_~-_____\ ~-________________-~ /_____-~_/'   |
 `.     ~-__________________________________-~     .'
  `.      [_______/------|~~|------\_______]      .'
   `\--___((____)(________\/________)(____))___--/'
    |>>>>>>||                            ||<<<<<<|
    `\<<<<</'                            `\>>>>>/'

    Now, if my calculations are correct,
    when this baby hits 88 miles an hour,
    you're going to see some serious s#1t!


id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
45935,Room in Beautiful Townhouse.,204586,L,Bronx,Mott Haven,40.80635,-73.92201,Private room,60,30,0,,,1,83
45936,Couldn't Be Closer To Columbia Uni,867225,Rahul,Manhattan,Morningside Heights,40.8063,-73.95985,Private room,75,31,129,2020-03-04,1.03,1,365
46911,Large Room in private Brownstone in Park Slope,210746,Kathleen R.,Brooklyn,Prospect Heights,40.68022,-73.97457,Private room,100,30,51,2019-06-24,0.40,3,245
47613,"BIG, COMFY ROOM W/YARD IN WILL-B",216191,M,Brooklyn,Williamsburg,40.7124,-73.94764,Private room,81,30,28,2013-11-04,0.22,5,365
48719,Designer 1 BR Duplex w/ Terrace- Spectacular Views,221873,Shane,Manhattan,Lower East Side,40.72019,-73.98987,Entire home/apt,192,60,116,2019-10-29,0.92,1,88
50447,"Lovely Apt & Garden;  Legal; Amenities, Spotless",9744,Laurie,Brooklyn,Gowanus,40.66913,-73.99041,Entire home/apt,119,4,182,2021-03-28,1.43,3,329
51438,1 Bedroom in 2 Bdrm Apt- Upper East,236421,Jessica,Manhattan,Upper East Side,40.77449,-73.95308,Private room,130,14,0,,,2,0
51850,( F) Excellent/Pvt Rm,27848,Jullett,Queens,Jamaica,40.67144,-73.76501,Private room,65,30,53,2019-09-03,0.41,5,365
52689,Astoria/Ditmars 2BR - Kids Welcome!,244071,Litza,Queens,Ditmars Steinway,40.77934727044573,-73.90606015427137,Entire home/apt,130,3,4,2013-04-15,0.03,2,0
53469,cozy studio with parking spot,204539,Mark,Queens,Middle Village,40.71567,-73.87842,Entire home/apt,107,30,33,2015-05-09,0.26,6,365
